Rank	Document Id	Document Score	Relevance Level	Precision	Recall	NDCG
87	1756	4.867911927220826	0	0.0804598	1.0000000	0.3986422
88	3169	4.864221396731637	0	0.0795455	1.0000000	0.3986422
89	2857	4.862765211431876	0	0.0786517	1.0000000	0.3986422
90	1651	4.859904924440403	0	0.0777778	1.0000000	0.3986422
91	3067	4.857395830553016	0	0.0769231	1.0000000	0.3986422
92	2006	4.850741848848075	0	0.0760870	1.0000000	0.3986422
93	2835	4.845236671784258	0	0.0752688	1.0000000	0.3986422
94	1652	4.844938579077493	0	0.0744681	1.0000000	0.3986422
95	1172	4.836770306230028	0	0.0736842	1.0000000	0.3986422
96	2437	4.804067996445893	0	0.0729167	1.0000000	0.3986422
97	2729	4.783255928480711	0	0.0721649	1.0000000	0.3986422
98	3083	4.759221289450013	0	0.0714286	1.0000000	0.3986422
99	1088	4.759029994274436	0	0.0707071	1.0000000	0.3986422
100	2888	4.756836861494009	0	0.0700000	1.0000000	0.3986422
