Rank	Document Id	Document Score	Relevance Level	Precision	Recall	NDCG
66	2218	3.924197038719024	0	0.0606061	1.0000000	0.6988602
67	1938	3.920958088988757	0	0.0597015	1.0000000	0.6988602
68	2777	3.918664048721685	0	0.0588235	1.0000000	0.6988602
69	1071	3.907115147240401	0	0.0579710	1.0000000	0.6988602
70	1163	3.882899718588713	0	0.0571429	1.0000000	0.6988602
71	1923	3.882899718588713	0	0.0563380	1.0000000	0.6988602
72	1749	3.878093502642109	0	0.0555556	1.0000000	0.6988602
73	3137	3.875409246589966	0	0.0547945	1.0000000	0.6988602
74	3087	3.836409137323619	0	0.0540541	1.0000000	0.6988602
75	1464	3.813823203722353	0	0.0533333	1.0000000	0.6988602
76	1951	3.811538878553905	0	0.0526316	1.0000000	0.6988602
77	2950	3.805290322085273	0	0.0519481	1.0000000	0.6988602
78	1533	3.803423460674170	0	0.0512821	1.0000000	0.6988602
79	252	3.796289140923755	0	0.0506329	1.0000000	0.6988602
80	1108	3.795925214954096	0	0.0500000	1.0000000	0.6988602
81	202	3.789123430711286	0	0.0493827	1.0000000	0.6988602
82	1751	3.771957809035694	0	0.0487805	1.0000000	0.6988602
83	2219	3.764803699034754	0	0.0481928	1.0000000	0.6988602
84	2536	3.761577753435080	0	0.0476190	1.0000000	0.6988602
85	1034	3.746953284740570	0	0.0470588	1.0000000	0.6988602
86	2151	3.745682185640248	0	0.0465116	1.0000000	0.6988602
87	1924	3.743264032704412	0	0.0459770	1.0000000	0.6988602
88	2618	3.723884268774409	0	0.0454545	1.0000000	0.6988602
89	2681	3.721147299864830	0	0.0449438	1.0000000	0.6988602
90	1226	3.696853177932961	0	0.0444444	1.0000000	0.6988602
91	3023	3.684847876710772	0	0.0439560	1.0000000	0.6988602
92	2624	3.673805909373442	0	0.0434783	1.0000000	0.6988602
93	2741	3.673805909373442	0	0.0430108	1.0000000	0.6988602
94	2065	3.659106738526153	0	0.0425532	1.0000000	0.6988602
95	2105	3.641657916353507	0	0.0421053	1.0000000	0.6988602
96	2358	3.631977665732701	0	0.0416667	1.0000000	0.6988602
97	1960	3.626630356615606	0	0.0412371	1.0000000	0.6988602
98	1652	3.622943703021580	0	0.0408163	1.0000000	0.6988602
99	2621	3.595499699462545	0	0.0404040	1.0000000	0.6988602
100	2582	3.583730978574661	0	0.0400000	1.0000000	0.6988602
