Rank	Document Id	Document Score	Relevance Level	Precision	Recall	NDCG
34	3059	4.611498232649141	0	0.2647059	0.9000000	0.7790321
35	3073	4.544178839441205	0	0.2571429	0.9000000	0.7790321
36	2195	4.506452008798133	0	0.2500000	0.9000000	0.7790321
37	46	4.462446873322270	0	0.2432432	0.9000000	0.7790321
38	2289	4.453733646853855	0	0.2368421	0.9000000	0.7790321
39	2570	4.420567145646205	0	0.2307692	0.9000000	0.7790321
40	2080	4.383603036510818	0	0.2250000	0.9000000	0.7790321
41	2175	4.352613971039299	0	0.2195122	0.9000000	0.7790321
42	1846	4.272659883577466	0	0.2142857	0.9000000	0.7790321
43	1569	4.234630366138442	0	0.2093023	0.9000000	0.7790321
44	1747	4.139588183158981	0	0.2045455	0.9000000	0.7790321
45	2838	4.065439804903090	0	0.2000000	0.9000000	0.7790321
46	3044	4.041487678508100	0	0.1956522	0.9000000	0.7790321
47	3194	3.841258114971356	0	0.1914894	0.9000000	0.7790321
48	2740	3.782180793577914	0	0.1875000	0.9000000	0.7790321
49	2311	3.681656155073033	0	0.1836735	0.9000000	0.7790321
50	2727	3.659932158547652	0	0.1800000	0.9000000	0.7790321
51	1854	3.648689214005863	0	0.1764706	0.9000000	0.7790321
52	1008	3.638463027580607	0	0.1730769	0.9000000	0.7790321
53	1380	3.555047513462574	0	0.1698113	0.9000000	0.7790321
54	2060	3.412255035181046	0	0.1666667	0.9000000	0.7790321
55	1200	3.399187749828160	0	0.1636364	0.9000000	0.7790321
56	2514	3.344206705479924	0	0.1607143	0.9000000	0.7790321
57	1471	3.326272817860022	0	0.1578947	0.9000000	0.7790321
58	1957	3.280411673605812	0	0.1551724	0.9000000	0.7790321
59	3175	3.248940995350996	1	0.1694915	1.0000000	0.8096968
60	1554	3.222582865569266	0	0.1666667	1.0000000	0.8096968
61	2114	3.172844175697651	0	0.1639344	1.0000000	0.8096968
62	1341	3.156974588205189	0	0.1612903	1.0000000	0.8096968
63	1603	3.109495137416459	0	0.1587302	1.0000000	0.8096968
64	1960	3.078627704372036	0	0.1562500	1.0000000	0.8096968
65	1536	3.063422664677511	0	0.1538462	1.0000000	0.8096968
66	2376	2.919244068863407	0	0.1515152	1.0000000	0.8096968
67	320	2.905569139724943	0	0.1492537	1.0000000	0.8096968
68	1959	2.901050147777052	0	0.1470588	1.0000000	0.8096968
69	2515	2.828364641422053	0	0.1449275	1.0000000	0.8096968
70	2898	2.691251515281489	0	0.1428571	1.0000000	0.8096968
71	2723	2.590390758639605	0	0.1408451	1.0000000	0.8096968
72	1325	2.590107979758612	0	0.1388889	1.0000000	0.8096968
73	3120	2.568655515161252	0	0.1369863	1.0000000	0.8096968
74	2967	2.547555489840797	0	0.1351351	1.0000000	0.8096968
75	1409	2.345272346454883	0	0.1333333	1.0000000	0.8096968
76	2497	2.259826331783299	0	0.1315789	1.0000000	0.8096968
77	1928	2.165165383723907	0	0.1298701	1.0000000	0.8096968
78	2692	1.979607673253225	0	0.1282051	1.0000000	0.8096968
79	2430	0.639232853861655	0	0.1265823	1.0000000	0.8096968
80	371	0.635108507063452	0	0.1250000	1.0000000	0.8096968
81	1559	0.633906356220358	0	0.1234568	1.0000000	0.8096968
82	2090	0.626940924999545	0	0.1219512	1.0000000	0.8096968
83	1539	0.625820285125995	0	0.1204819	1.0000000	0.8096968
84	2042	0.620786630480816	0	0.1190476	1.0000000	0.8096968
85	2146	0.614737275349308	0	0.1176471	1.0000000	0.8096968
86	199	0.610251619710335	0	0.1162791	1.0000000	0.8096968
87	2884	0.607971740107769	0	0.1149425	1.0000000	0.8096968
88	2630	0.606274518112362	0	0.1136364	1.0000000	0.8096968
89	2679	0.601872839637309	0	0.1123596	1.0000000	0.8096968
90	2520	0.599517149769862	0	0.1111111	1.0000000	0.8096968
91	2767	0.599241999380635	0	0.1098901	1.0000000	0.8096968
92	2509	0.597470996090826	0	0.1086957	1.0000000	0.8096968
93	1560	0.594359050512111	0	0.1075269	1.0000000	0.8096968
94	1990	0.594359050512111	0	0.1063830	1.0000000	0.8096968
95	2348	0.594359050512111	0	0.1052632	1.0000000	0.8096968
96	2283	0.593483265731147	0	0.1041667	1.0000000	0.8096968
97	2417	0.591279354285194	0	0.1030928	1.0000000	0.8096968
98	1961	0.589649910965224	0	0.1020408	1.0000000	0.8096968
99	2863	0.587132917346681	0	0.1010101	1.0000000	0.8096968
100	2510	0.585214725237493	0	0.1000000	1.0000000	0.8096968
